model,ticker,period,test_accuracy,test_sharpe,test_cum_return,test_max_dd,overfit_gap,sharpe_gap
XGB+LSTM (50/50),JPM,recovery_2023,0.532258064516129,1.1673308973656655,0.13782968594507738,-0.09559925658106838,-0.05815447885875846,-2.6034339149830976
XGB+LSTM (50/50),JPM,ai_boom_2024,0.5725806451612904,2.1448195198179185,0.2082906758115557,-0.09816758327978847,-0.00458064516129042,-0.7214423086375339
XGB+LSTM+RF (60/25/15),AAPL,bear_2022,0.46774193548387094,-1.3475746087311609,-0.23459489384816068,-0.29877070011216866,0.06667101998171615,2.922733396470971
XGB+LSTM+RF (60/25/15),AAPL,recovery_2023,0.49193548387096775,-1.4779799535751916,-0.15327463994355717,-0.3188911160380694,0.014040611746562126,2.013939949161773
XGB+LSTM+RF (60/25/15),AAPL,ai_boom_2024,0.5403225806451613,2.038391980854591,0.2569942607864486,-0.12195725347834685,0.011677419354838792,-0.23746758266805634
XGB+LSTM+RF (60/25/15),MSFT,bear_2022,0.4838709677419355,-1.2639134121071363,-0.2211426385534272,-0.2738154912450472,0.04244482173174868,3.5355403633596456
XGB+LSTM+RF (60/25/15),MSFT,recovery_2023,0.5241935483870968,-2.0902141755608126,-0.26942526782409115,-0.3604450528068226,0.029591312170672124,2.631422813954965
XGB+LSTM+RF (60/25/15),MSFT,ai_boom_2024,0.5,-0.2715268316885422,-0.03421687532082396,-0.16402762231476375,-0.03199999999999997,-1.3396536412305655
XGB+LSTM+RF (60/25/15),GOOGL,bear_2022,0.46774193548387094,-1.3472307010649012,-0.2500422811931017,-0.31416812746120326,0.10715684994123026,3.592448973735939
XGB+LSTM+RF (60/25/15),GOOGL,recovery_2023,0.532258064516129,1.9922777344077491,0.3453769081747231,-0.18351651280921366,-0.08205886132887802,-3.0643391806501272
XGB+LSTM+RF (60/25/15),GOOGL,ai_boom_2024,0.6370967741935484,2.179488939405572,0.325903028350085,-0.14956900929770112,-0.09709677419354834,-0.5676991219206602
XGB+LSTM+RF (60/25/15),AMZN,bear_2022,0.46774193548387094,-1.4106990068545848,-0.35705922895540254,-0.46643685333150353,0.05047668799791044,1.914372777748586
XGB+LSTM+RF (60/25/15),AMZN,recovery_2023,0.5564516129032258,2.5870346317066293,0.5173619399180289,-0.21184155320165332,-0.09430021848091502,-3.7132940871040643
XGB+LSTM+RF (60/25/15),AMZN,ai_boom_2024,0.532258064516129,2.35665085352206,0.31528050811474784,-0.08371120807588583,0.007741935483871032,-0.48300711314015343
XGB+LSTM+RF (60/25/15),NVDA,bear_2022,0.45161290322580644,-1.8606056572151413,-0.5176606395298631,-0.6172128291245019,0.08280005223978065,3.9049334217668603
XGB+LSTM+RF (60/25/15),NVDA,recovery_2023,0.5,-1.787402674166678,-0.45797793908057804,-0.9125912501151717,0.005976095617529875,2.4513003287016772
XGB+LSTM+RF (60/25/15),NVDA,ai_boom_2024,0.5967741935483871,3.9810545131907515,1.5808846188498302,-0.2106679686048274,-0.028774193548387172,-1.2145143104226408
XGB+LSTM+RF (60/25/15),JPM,bear_2022,0.41935483870967744,-2.013714243519465,-0.28519430201829865,-0.37160148218849176,0.07862086979234684,2.9800238815672593
XGB+LSTM+RF (60/25/15),JPM,recovery_2023,0.5483870967741935,0.9061244327766184,0.10162866361984535,-0.13440855556208697,-0.07428351111682296,-1.258816998431591
XGB+LSTM+RF (60/25/15),JPM,ai_boom_2024,0.5725806451612904,2.1448195198179185,0.2082906758115557,-0.09816758327978847,-0.00458064516129042,-0.7214423086375339
XGB+LSTM+RF (50/30/20),AAPL,bear_2022,0.46774193548387094,-1.3475746087311609,-0.23459489384816068,-0.29877070011216866,0.06667101998171615,2.922733396470971
XGB+LSTM+RF (50/30/20),AAPL,recovery_2023,0.5725806451612904,4.383104687774405,0.5432995331941064,-0.06592096273895387,-0.09847705950391983,-5.114165427618506
XGB+LSTM+RF (50/30/20),AAPL,ai_boom_2024,0.4435483870967742,-1.1952461340262779,-0.14639662629412875,-0.28220691739445103,0.028451612903225787,0.5472648774171809
XGB+LSTM+RF (50/30/20),MSFT,bear_2022,0.4838709677419355,-1.2639134121071363,-0.2211426385534272,-0.2738154912450472,0.04244482173174868,3.5355403633596456
XGB+LSTM+RF (50/30/20),MSFT,recovery_2023,0.5161290322580645,2.6426248159478485,0.41738567792695025,-0.09633316418191928,-0.05397763783575377,-3.3922483827027796
