ticker,config,avg_sharpe,std_sharpe,avg_accuracy,avg_return,avg_max_dd,positive_folds,total_folds,consistency
NVDA,RF_Baseline,-0.28904737710987377,0.6571519635517487,0.4936507936507937,-0.14135122094695005,-0.37775181819971165,2,5,0.4
NVDA,RF + ElasticNet + Scaler,-0.3525630765346011,0.6712498425871081,0.4936507936507937,-0.15316149763914425,-0.3803147410514576,2,5,0.4
SLV,XGB_Baseline,0.4696304778981532,1.2147783288593832,0.49523809523809526,0.08377826284749264,-0.17476483900239703,3,5,0.6
SLV,XGB + StandardScaler,0.10977387809072692,1.3090780471261154,0.48888888888888893,0.035934284951656695,-0.18626466754400414,3,5,0.6
SLV,XGB + ElasticNet Prefilter,0.10977387809072692,1.3090780471261154,0.48888888888888893,0.035934284951656695,-0.18626466754400414,3,5,0.6
SLV,XGB + Adaptive LR,-0.04650661055615526,1.1743373654045486,0.48730158730158724,0.008388755346504694,-0.18783028496996831,3,5,0.6
SLV,XGB + All Enhancements,-0.04650661055615526,1.1743373654045486,0.48730158730158724,0.008388755346504694,-0.18783028496996831,3,5,0.6
SLV,RF_Baseline,0.5022390419459405,0.8253695059858317,0.5158730158730159,0.07060348789111541,-0.1555654397027385,4,5,0.8
SLV,RF + ElasticNet + Scaler,0.058955231015455176,1.1315855480248291,0.49523809523809526,0.016758772408507806,-0.18020662203792942,3,5,0.6
AMD,XGB_Baseline,-0.2312962314023026,0.754267710985966,0.49682539682539684,-0.12232906522106002,-0.37921456157633143,2,5,0.4
AMD,XGB + StandardScaler,-0.37461430028895776,0.6363822420024199,0.49523809523809526,-0.15064338532490212,-0.3721072480851406,2,5,0.4
AMD,XGB + ElasticNet Prefilter,-0.37461430028895776,0.6363822420024199,0.49523809523809526,-0.15064338532490212,-0.3721072480851406,2,5,0.4
AMD,XGB + Adaptive LR,0.5732383367332926,1.4087915166155633,0.492063492063492,0.1309807201402347,-0.3045055916708467,2,5,0.4
AMD,XGB + All Enhancements,0.5732383367332926,1.4087915166155633,0.492063492063492,0.1309807201402347,-0.3045055916708467,2,5,0.4
AMD,RF_Baseline,-0.29734335417015134,0.46089285737721225,0.5,-0.13420594375035305,-0.3459746007291453,1,5,0.2
AMD,RF + ElasticNet + Scaler,-0.14200509318997584,0.6004175307558551,0.5,-0.09983442889472512,-0.3437859760473387,3,5,0.6
