ticker,model,period,horizon,sharpe,accuracy,total_return,max_drawdown,win_rate,num_trades
NVDA,xgb,5y,5,0,0,11.133707576581122,0,0,0
NVDA,rf,2y,1,0,0,0.10120246350098827,0,0,0
NVDA,rf,2y,3,0,0,-0.39677445624454644,0,0,0
NVDA,rf,2y,5,0,0,-0.46990439378151516,0,0,0
NVDA,rf,5y,1,0,0,-0.14091839237743797,0,0,0
NVDA,rf,5y,3,0,0,-0.37148229823800527,0,0,0
NVDA,rf,5y,5,0,0,-0.7592101840849071,0,0,0
NVDA,ensemble,2y,1,0,0,0.6139785899480958,0,0,0
NVDA,ensemble,2y,3,0,0,3.647671647959351,0,0,0
NVDA,ensemble,2y,5,0,0,3.7637472652705313,0,0,0
NVDA,ensemble,5y,1,0,0,0.6139785898936432,0,0,0
NVDA,ensemble,5y,3,0,0,3.6476716478101894,0,0,0
NVDA,ensemble,5y,5,0,0,8.0815793333729,0,0,0
GOOGL,xgb,2y,1,0,0,1.0076376107525995,0,0,0
GOOGL,xgb,2y,3,0,0,7.258526645224981,0,0,0
GOOGL,xgb,2y,5,0,0,31.12159861130116,0,0,0
GOOGL,xgb,5y,1,0,0,1.0076376108460794,0,0,0
GOOGL,xgb,5y,3,0,0,7.258527429001607,0,0,0
GOOGL,xgb,5y,5,0,0,31.121598598177933,0,0,0
GOOGL,rf,2y,1,0,0,0.14499719286695556,0,0,0
GOOGL,rf,2y,3,0,0,-0.7131046983686298,0,0,0
GOOGL,rf,2y,5,0,0,-0.8846577908840711,0,0,0
GOOGL,rf,5y,1,0,0,-0.1027983321242334,0,0,0
GOOGL,rf,5y,3,0,0,-0.5877341016096826,0,0,0
GOOGL,rf,5y,5,0,0,-0.9757319515227028,0,0,0
GOOGL,ensemble,2y,1,0,0,1.0076376107525995,0,0,0
GOOGL,ensemble,2y,3,0,0,7.258526645224981,0,0,0
GOOGL,ensemble,2y,5,0,0,31.12159861130116,0,0,0
GOOGL,ensemble,5y,1,0,0,1.0076376108460794,0,0,0
GOOGL,ensemble,5y,3,0,0,7.258527429001607,0,0,0
GOOGL,ensemble,5y,5,0,0,31.121598598177933,0,0,0
AMZN,xgb,2y,1,0,0,0.30147337104764427,0,0,0
AMZN,xgb,2y,3,0,0,1.2074711336682058,0,0,0
AMZN,xgb,2y,5,0,0,2.5240262831248663,0,0,0
AMZN,xgb,5y,1,0,0,0.30147337104764427,0,0,0
AMZN,xgb,5y,3,0,0,1.2074711336682058,0,0,0
AMZN,xgb,5y,5,0,0,2.5240262831248663,0,0,0
AMZN,rf,2y,1,0,0,-0.02000356816874893,0,0,0
AMZN,rf,2y,3,0,0,-0.2805163390706924,0,0,0
AMZN,rf,2y,5,0,0,-0.4884269921772819,0,0,0
AMZN,rf,5y,1,0,0,-0.15891107120407666,0,0,0
AMZN,rf,5y,3,0,0,-0.6753852054572853,0,0,0
AMZN,rf,5y,5,0,0,-0.7288695956906397,0,0,0
AMZN,ensemble,2y,1,0,0,0.30147337104764427,0,0,0
AMZN,ensemble,2y,3,0,0,1.2074711336682058,0,0,0
AMZN,ensemble,2y,5,0,0,2.5240262831248663,0,0,0
AMZN,ensemble,5y,1,0,0,0.30147337104764427,0,0,0
AMZN,ensemble,5y,3,0,0,1.2074711336682058,0,0,0
AMZN,ensemble,5y,5,0,0,2.5240262831248663,0,0,0
